/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
(+(*(+(-(0.71953)(*(-(-(+(/(/(-(x1)(*(0.72826)(0.25907)))(*(*(x1)(x1))(0.83227)))(0.21168))(0.95315))(x1))(0.90881))(0.85293)))(x1))(0.68954))(x1)) | Numero de nos: 29 | Erro: 434177304428544.0000000000000000000000000 |
(+(/(*(/(-(/(+(0.95041)(0.41060))(/(x1)(/(0.62709)(x1))))(+(/(0.19138)(-(+(+(x1)(0.69680))(x1))(x1)))(x1)))(x1))(x1))(0.56017))(0.54378)) | Numero de nos: 29 | Erro: 434175727370240.0000000000000000000000000 |
(+(/(x1)(x1))(+(+(*(x1)(+(+(+(/(/(/(0.25474)(/(/(+(0.93808)(0.49052))(0.90558))(0.26795)))(0.54698))(x1))(x1))(0.30909))(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 433284320329728.0000000000000000000000000 |
(*(-(*(x1)(0.27323))(0.59996))(0.16443)) | Numero de nos: 7 | Erro: 434176633339904.0000000000000000000000000 |
(-(-(-(-(/(*(*(/(-(0.13874)(+(-(x1)(+(/(*(x1)(0.52998))(x1))(x1)))(x1)))(x1))(0.21482))(x1))(0.28040))(0.41819))(0.18152))(x1))(x1)) | Numero de nos: 29 | Erro: 434175660261376.0000000000000000000000000 |
(*(/(-(/(*(+(*(+(0.47832)(-(x1)(-(+(-(+(/(x1)(0.78848))(0.73678))(x1))(0.60121))(0.56459))))(x1))(0.31071))(0.91543))(0.28944))(0.32353))(x1))(0.56780)) | Numero de nos: 29 | Erro: 434177203765248.0000000000000000000000000 |
(+(/(x1)(*(x1)(0.86004)))(x1)) | Numero de nos: 7 | Erro: 434176700448768.0000000000000000000000000 |
(0.00543) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(/(/(+(*(/(0.14521)(*(*(0.12464)(x1))(-(x1)(+(/(-(0.28455)(+(*(-(0.26444)(x1))(x1))(0.99750)))(0.98791))(x1)))))(0.21439))(0.69890))(0.77990))(x1)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(-(0.45485)(0.58919)) | Numero de nos: 3 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(+(+(*(0.29820)(-(/(x1)(+(/(0.72237)(0.26914))(/(/(/(/(x1)(0.71911))(x1))(-(x1)(x1)))(0.89041))))(0.47270)))(x1))(x1))(x1))(x1)) | Numero de nos: 29 | Erro: 434178176843776.0000000000000000000000000 |
(+(0.75842)(-(*(+(-(*(*(x1)(/(0.39991)(+(0.62526)(+(x1)(0.20041)))))(*(*(*(-(x1)(0.52199))(0.54631))(0.91940))(0.13840)))(x1))(x1))(0.06833))(x1))) | Numero de nos: 29 | Erro: 434175995805696.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(/(+(-(/(+(x1)(+(x1)(*(/(/(+(x1)(-(0.41783)(/(*(/(x1)(x1))(x1))(0.40049))))(x1))(0.55840))(0.37263))))(x1))(x1))(0.47258))(x1)) | Numero de nos: 29 | Erro: 434176801112064.0000000000000000000000000 |
(+(/(-(-(0.19672)(*(-(0.06357)(0.79699))(0.44758)))(+(0.53493)(/(/(-(+(+(-(-(x1)(0.90329))(x1))(0.16602))(0.89068))(x1))(0.84448))(0.00494))))(0.75018))(0.57454)) | Numero de nos: 29 | Erro: 434316857311232.0000000000000000000000000 |
(0.59145) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(0.46699) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(x1)(/(x1)(-(-(*(x1)(/(*(-(x1)(*(0.26698)(*(-(*(x1)(-(-(x1)(0.22416))(x1)))(x1))(0.78198))))(0.02844))(0.57070)))(x1))(0.72805)))) | Numero de nos: 29 | Erro: 434171600175104.0000000000000000000000000 |
(*(/(/(x1)(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 9 | Erro: 365411858120704.0000000000000000000000000 |
(/(/(/(0.61876)(+(0.10373)(0.27476)))(*(/(+(-(0.15989)(+(-(*(0.88455)(-(-(-(0.53529)(0.07965))(0.18647))(x1)))(0.07053))(0.60500)))(0.05426))(0.19694))(0.86459)))(x1)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(0.79217) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(0.92328) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.67034) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(+(-(/(/(*(-(-(-(0.72939)(0.50865))(+(/(+(*(*(0.50517)(x1))(x1))(0.03363))(x1))(x1)))(x1))(0.91977))(x1))(0.31678))(0.53505))(0.56450))(0.90518)) | Numero de nos: 29 | Erro: 434178210398208.0000000000000000000000000 |
(/(0.49245)(/(x1)(*(x1)(x1)))) | Numero de nos: 7 | Erro: 434176700448768.0000000000000000000000000 |
(*(*(0.71801)(/(/(+(+(x1)(x1))(*(+(x1)(/(0.16404)(/(*(x1)(/(x1)(*(-(x1)(0.17200))(x1))))(x1))))(0.94391)))(x1))(0.86639)))(x1)) | Numero de nos: 29 | Erro: 434177539309568.0000000000000000000000000 |
(/(-(0.84204)(x1))(/(-(/(/(x1)(+(x1)(+(0.01373)(0.13010))))(-(0.66076)(-(x1)(/(0.46025)(/(/(x1)(x1))(-(x1)(x1)))))))(x1))(0.29347))) | Numero de nos: 29 | Erro: 434176499122176.0000000000000000000000000 |
(0.83517) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(0.69091) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(*(0.38993)(+(-(/(+(/(x1)(x1))(-(+(/(*(-(*(0.67507)(0.68642))(/(x1)(x1)))(0.48302))(0.46104))(0.19706))(0.46391)))(x1))(x1))(0.26942)))(0.80669)) | Numero de nos: 29 | Erro: 434176398458880.0000000000000000000000000 |
(0.79369) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(/(-(+(0.17057)(0.43089))(+(x1)(0.18229)))(-(+(x1)(0.51738))(+(x1)(0.03897)))) | Numero de nos: 15 | Erro: 434175626706944.0000000000000000000000000 |
(*(/(+(x1)(x1))(/(x1)(0.21397)))(+(*(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 433985876393984.0000000000000000000000000 |
(+(/(/(x1)(x1))(*(0.25178)(x1)))(*(-(0.21546)(x1))(+(0.28886)(x1)))) | Numero de nos: 15 | Erro: 434623343493120.0000000000000000000000000 |
(-(-(-(x1)(x1))(+(0.23435)(0.33024)))(-(+(0.48939)(0.88928))(+(0.74450)(0.04917)))) | Numero de nos: 15 | Erro: 434176868220928.0000000000000000000000000 |
(-(*(/(0.82183)(0.01926))(+(x1)(x1)))(*(+(x1)(0.03098))(*(x1)(0.72561)))) | Numero de nos: 15 | Erro: 434533384060928.0000000000000000000000000 |
(/(+(+(x1)(0.94528))(-(0.26264)(x1)))(*(*(0.36912)(0.16526))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434171667283968.0000000000000000000000000 |
(+(+(*(x1)(0.16550))(+(x1)(x1)))(/(*(x1)(0.95694))(*(0.95984)(x1)))) | Numero de nos: 15 | Erro: 434177136656384.0000000000000000000000000 |
(-(/(/(0.65383)(x1))(-(x1)(0.94794)))(*(+(0.71865)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 435069952983040.0000000000000000000000000 |
(*(+(+(x1)(0.29902))(+(0.09915)(0.43187)))(*(/(0.12308)(0.05564))(+(x1)(0.47383)))) | Numero de nos: 15 | Erro: 433189931712512.0000000000000000000000000 |
(/(*(/(0.35539)(x1))(-(0.45094)(x1)))(-(-(0.59200)(x1))(*(x1)(0.70791)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(*(-(0.19089)(x1))(-(x1)(x1)))(-(-(0.65825)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(+(/(x1)(x1))(+(0.54350)(x1)))(-(-(0.78698)(0.77773))(-(0.12186)(0.45689)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(-(/(0.46358)(x1))(-(x1)(0.60228)))(+(*(0.53307)(0.03122))(+(x1)(0.99924)))) | Numero de nos: 15 | Erro: 434622940839936.0000000000000000000000000 |
(-(*(*(0.97119)(0.67934))(*(0.75021)(0.95764)))(-(*(x1)(x1))(+(0.70571)(x1)))) | Numero de nos: 15 | Erro: 434623410601984.0000000000000000000000000 |
(+(*(/(0.44694)(x1))(+(x1)(0.07910)))(+(-(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(+(*(x1)(x1))(-(0.63610)(x1)))(/(+(0.69353)(0.12619))(*(0.40147)(x1)))) | Numero de nos: 15 | Erro: 433729520533504.0000000000000000000000000 |
(-(-(/(0.06708)(0.50069))(+(0.20276)(0.39415)))(*(/(x1)(0.56212))(-(x1)(0.44353)))) | Numero de nos: 15 | Erro: 434972074704896.0000000000000000000000000 |
(*(/(-(x1)(x1))(+(x1)(0.37287)))(*(-(0.13962)(0.99118))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(-(0.84210)(x1))(-(0.07651)(x1)))(+(/(0.97717)(0.50383))(/(0.21049)(0.04724)))) | Numero de nos: 15 | Erro: 433731265363968.0000000000000000000000000 |
(-(+(*(x1)(x1))(-(x1)(x1)))(+(*(x1)(x1))(/(x1)(0.39015)))) | Numero de nos: 15 | Erro: 434175626706944.0000000000000000000000000 |
(+(-(*(x1)(0.94885))(*(x1)(0.98733)))(*(*(x1)(x1))(*(0.14029)(0.80273)))) | Numero de nos: 15 | Erro: 434126301691904.0000000000000000000000000 |
(-(/(*(x1)(0.23069))(/(0.47258)(x1)))(+(*(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434404535042048.0000000000000000000000000 |
(-(-(*(x1)(x1))(+(0.29597)(x1)))(+(-(0.88156)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 433730627829760.0000000000000000000000000 |
(/(*(*(0.97586)(x1))(+(x1)(0.78024)))(*(*(x1)(x1))(/(x1)(0.14670)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(-(x1)(x1))(-(x1)(x1)))(-(*(x1)(x1))(*(0.98282)(0.10413)))) | Numero de nos: 15 | Erro: 433729990295552.0000000000000000000000000 |
(/(*(-(0.48018)(x1))(-(0.05918)(x1)))(+(-(x1)(x1))(*(0.94879)(x1)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(-(*(-(x1)(x1))(*(0.83605)(0.19309)))(/(+(0.61553)(0.77114))(+(0.93823)(0.28504)))) | Numero de nos: 15 | Erro: 434176868220928.0000000000000000000000000 |
(/(/(-(x1)(0.78179))(-(x1)(0.16193)))(/(/(0.48967)(0.81655))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 433431657840640.0000000000000000000000000 |
(/(*(*(0.78204)(0.28855))(/(x1)(x1)))(-(*(0.59954)(x1))(*(0.05966)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(/(*(0.33927)(0.48726))(/(0.29984)(x1)))(/(/(0.31083)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(-(/(*(x1)(x1))(*(x1)(0.45689)))(*(+(x1)(x1))(-(x1)(0.10544)))) | Numero de nos: 15 | Erro: 435071261605888.0000000000000000000000000 |
(+(-(/(0.40208)(0.95022))(*(0.11240)(0.26078)))(-(+(x1)(0.04831))(-(0.49022)(x1)))) | Numero de nos: 15 | Erro: 434177270874112.0000000000000000000000000 |
(-(/(/(x1)(0.65996))(-(0.76376)(0.59023)))(/(*(x1)(x1))(/(0.35212)(0.99289)))) | Numero de nos: 15 | Erro: 435440393912320.0000000000000000000000000 |
(-(+(+(x1)(x1))(+(x1)(0.55769)))(-(+(x1)(0.29270))(*(0.45201)(x1)))) | Numero de nos: 15 | Erro: 434177472200704.0000000000000000000000000 |
(/(+(/(x1)(x1))(/(0.59014)(0.70730)))(/(*(0.48827)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434174586519552.0000000000000000000000000 |
(-(-(-(x1)(0.86257))(-(0.73040)(0.64217)))(-(/(0.69607)(x1))(*(0.14356)(x1)))) | Numero de nos: 15 | Erro: 434177237319680.0000000000000000000000000 |
(*(*(+(0.64278)(x1))(*(0.69811)(x1)))(/(/(0.22666)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(/(/(0.88748)(0.96472))(/(0.17838)(0.83077)))(+(-(x1)(0.51945))(/(0.30604)(x1)))) | Numero de nos: 15 | Erro: 434176599785472.0000000000000000000000000 |
(-(/(*(0.67824)(x1))(-(0.63784)(x1)))(-(-(0.32600)(0.28809))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434177472200704.0000000000000000000000000 |
(-(*(/(0.04208)(x1))(+(x1)(x1)))(-(+(x1)(0.61385))(/(0.56575)(0.44810)))) | Numero de nos: 15 | Erro: 434175995805696.0000000000000000000000000 |
(/(/(/(x1)(x1))(-(0.25083)(0.91659)))(/(-(0.61458)(x1))(-(x1)(0.87588)))) | Numero de nos: 15 | Erro: 434176197132288.0000000000000000000000000 |
(+(*(/(0.41823)(0.58476))(*(0.73986)(0.44743)))(-(-(x1)(x1))(+(0.99090)(x1)))) | Numero de nos: 15 | Erro: 434176398458880.0000000000000000000000000 |
(+(-(*(0.91049)(x1))(*(0.84442)(0.55342)))(/(/(0.80746)(x1))(/(0.00150)(x1)))) | Numero de nos: 15 | Erro: 434042080067584.0000000000000000000000000 |
(/(/(+(x1)(0.86071))(+(x1)(0.26121)))(/(-(x1)(x1))(/(0.50194)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(-(-(*(x1)(0.67110))(/(0.08066)(x1)))(*(-(x1)(x1))(+(0.47056)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(*(*(+(0.47951)(0.38261))(+(0.82009)(x1)))(+(-(0.90109)(0.94974))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(/(+(-(x1)(x1))(+(0.77712)(0.30076)))(-(*(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(+(+(x1)(0.62780))(-(0.36760)(0.20218)))(+(+(0.46297)(x1))(+(0.20734)(0.07727)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(*(-(*(0.56999)(0.81799))(*(0.33076)(0.15305)))(/(-(x1)(0.95187))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(+(-(x1)(0.22788))(+(0.26740)(0.14594)))(/(-(x1)(x1))(/(0.66942)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |

MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 9 | Erro: 365411858120704.0000000000000000000000000 |
MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 9 | Erro: 365411858120704.0000000000000000000000000 |
MELHOR: (*(/(/(x1)(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 9 | Erro: 365411858120704.0000000000000000000000000 |
MELHOR: (*(/(/(*(-(/(x1)(0.43843))(-(*(x1)(-(*(*(-(/(0.56886)(x1))(x1))(0.07208))(0.86792))(0.34809)))(x1)))(0.92093))(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 29 | Erro: 256324218650624.0000000000000000000000000 |
MELHOR: (*(/(/(*(-(/(x1)(0.43843))(-(*(x1)(-(*(*(-(/(0.56886)(x1))(x1))(0.07208))(0.86792))(0.34809)))(x1)))(0.92093))(*(0.05002)(0.13465)))(0.92093))(x1)) | Numero de nos: 29 | Erro: 256324218650624.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.14783))(0.81716))(x1))(+(0.09925)(x1))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 27 | Erro: 7168022020096.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.14783))(0.81716))(x1))(+(0.09925)(x1))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 27 | Erro: 7168022020096.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.14783))(0.81716))(x1))(+(0.09925)(x1))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 27 | Erro: 7168022020096.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(-(x1)(0.43971)))(0.81716))(x1))(+(0.09925)(0.19382))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 29 | Erro: 1195035590656.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(-(x1)(0.43971)))(0.81716))(x1))(+(0.09925)(0.19382))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 29 | Erro: 1195035590656.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(-(x1)(0.43971)))(0.81716))(x1))(0.44700)))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 27 | Erro: 1153438318592.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(-(x1)(0.43971)))(0.81716))(x1))(0.44700)))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 27 | Erro: 1153438318592.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(-(0.92093)(0.43971)))(0.69558))(x1))(+(0.09925)(x1))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 29 | Erro: 1075084787712.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(-(0.92093)(0.43971)))(0.69558))(x1))(+(0.09925)(x1))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 29 | Erro: 1075084787712.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.67296))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 29 | Erro: 183798022144.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.67296))))))(0.39280))(x1))(x1)))(x1)) | Numero de nos: 29 | Erro: 183798022144.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.36848))))))(0.39280))(0.39280))(x1)))(x1)) | Numero de nos: 29 | Erro: 7300042240.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.36848))))))(0.39280))(0.39280))(x1)))(x1)) | Numero de nos: 29 | Erro: 7300042240.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.36848))))))(0.39280))(0.39280))(x1)))(x1)) | Numero de nos: 29 | Erro: 7300042240.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.36848))))))(0.39280))(0.39280))(x1)))(x1)) | Numero de nos: 29 | Erro: 7300042240.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.36848))))))(0.39280))(0.91153))(x1)))(x1)) | Numero de nos: 29 | Erro: 6388225536.0000000000000000000000000 |
MELHOR: (*(+(x1)(*(-(*(+(x1)(*(x1)(+(x1)(+(-(/(+(x1)(0.77139))(*(0.70470)(0.91153)))(x1))(+(x1)(0.36848))))))(0.39280))(0.91153))(x1)))(x1)) | Numero de nos: 29 | Erro: 6388225536.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(x1))(x1)))(x1))(x1))(x1))(0.45207))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 74843912.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(x1))(x1)))(x1))(x1))(x1))(0.45207))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 74843912.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(x1))(x1)))(x1))(x1))(x1))(0.45207))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 74843912.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(0.39280))(x1)))(x1))(x1))(x1))(0.45207))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 33120192.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(0.39280))(x1)))(x1))(x1))(x1))(0.45207))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 33120192.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(x1))(x1)))(x1))(x1))(x1))(0.45207))(x1))(x1))(x1))))(x1)) | Numero de nos: 29 | Erro: 6527832.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(x1))(x1)))(x1))(x1))(x1))(0.45207))(x1))(x1))(x1))))(x1)) | Numero de nos: 29 | Erro: 6527832.0000000000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(0.39280))(x1)))(x1))(x1))(x1))(0.91153))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 447823.5312500000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(0.39280))(x1)))(x1))(x1))(x1))(0.91153))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 447823.5312500000000000000000000 |
MELHOR: (*(*(x1)(+(0.03360)(/(+(*(+(*(+(/(+(x1)(/(*(-(0.12555)(0.38465))(0.39280))(x1)))(x1))(x1))(x1))(0.91153))(x1))(0.14554))(x1))))(x1)) | Numero de nos: 29 | Erro: 447823.5312500000000000000000000 |
