/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 9: 
(*(-(-(+(x1)(0.11014))(+(x1)(-(x1)(/(x1)(+(-(+(/(+(/(x1)(-(0.78484)(x1)))(x1))(x1))(x1))(x1))(x1))))))(0.28434))(x1)) | Numero de nos: 29 | Erro: 434624014581760.0000000000000000000000000 |
(-(+(-(+(+(x1)(+(*(0.10752)(x1))(x1)))(*(-(+(*(*(x1)(-(0.06455)(x1)))(x1))(*(x1)(x1)))(x1))(x1)))(0.73516))(0.31666))(x1)) | Numero de nos: 29 | Erro: 1742268650225664.0000000000000000000000000 |
(0.55409) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(0.34751)(*(/(+(*(*(*(x1)(0.71987))(+(*(x1)(+(*(x1)(/(+(+(x1)(x1))(x1))(0.63369)))(0.60201)))(x1)))(0.04309))(0.94763))(x1))(x1))) | Numero de nos: 29 | Erro: 390951444938752.0000000000000000000000000 |
(/(/(-(0.32444)(+(x1)(+(/(*(0.53539)(x1))(*(*(x1)(/(x1)(0.31260)))(0.30271)))(-(+(0.60619)(0.58949))(+(-(x1)(0.51683))(0.29673))))))(0.81283))(0.62346)) | Numero de nos: 29 | Erro: 434177170210816.0000000000000000000000000 |
(0.05329) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(0.94183)(-(+(-(/(-(+(-(x1)(-(/(-(+(/(+(0.80898)(x1))(x1))(x1))(x1))(x1))(x1)))(0.75228))(0.15213))(0.88989))(x1))(x1))(0.58895))) | Numero de nos: 29 | Erro: 434177203765248.0000000000000000000000000 |
(0.50703) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(-(x1)(*(*(+(0.54790)(0.22733))(*(/(/(/(-(0.00397)(+(0.07367)(*(+(*(x1)(x1))(0.38643))(x1))))(x1))(0.17463))(0.92727))(0.96539)))(0.17649)))(x1)) | Numero de nos: 29 | Erro: 434788632625152.0000000000000000000000000 |
(/(0.62154)(*(0.46883)(-(x1)(x1)))) | Numero de nos: 7 | Erro: 434176364904448.0000000000000000000000000 |
(-(/(+(/(*(x1)(0.48305))(x1))(-(x1)(x1)))(/(/(/(/(0.99795)(-(0.02451)(/(0.77166)(/(/(x1)(0.89843))(0.36775)))))(x1))(0.85256))(0.18641)))(0.87295)) | Numero de nos: 29 | Erro: 434176767557632.0000000000000000000000000 |
(+(x1)(*(0.18036)(x1))) | Numero de nos: 5 | Erro: 434177002438656.0000000000000000000000000 |
(*(x1)(-(/(-(0.40364)(*(-(+(x1)(+(-(x1)(x1))(+(*(x1)(+(x1)(/(-(0.97955)(x1))(x1))))(0.21961))))(0.68599))(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 433730359394304.0000000000000000000000000 |
(*(-(x1)(x1))(*(x1)(*(/(0.34577)(/(*(*(*(0.46458)(0.38124))(-(+(-(+(-(0.53813)(0.80703))(0.81207))(x1))(x1))(0.74224)))(0.65682))(x1)))(x1)))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(-(x1)(-(+(0.20066)(+(0.18979)(x1)))(0.67675))) | Numero de nos: 9 | Erro: 434176499122176.0000000000000000000000000 |
(-(+(/(x1)(0.40113))(-(*(/(+(x1)(0.73125))(*(x1)(-(0.39204)(+(x1)(/(x1)(+(x1)(-(*(x1)(0.64733))(0.51659))))))))(x1))(x1)))(0.72930)) | Numero de nos: 29 | Erro: 434177572864000.0000000000000000000000000 |
(0.59850) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(-(*(+(x1)(x1))(x1))(-(-(*(0.53197)(0.59139))(*(x1)(+(*(-(/(*(x1)(*(x1)(0.20142)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 279674227785728.0000000000000000000000000 |
(+(-(x1)(-(*(*(0.22831)(/(-(/(*(*(x1)(/(/(0.32597)(-(/(0.38710)(0.06024))(0.77810)))(x1)))(0.74489))(0.55226))(0.66686))(0.52705)))(0.07083))(0.83624)))(0.06363)) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(-(*(+(0.57631)(x1))(x1))(x1)) | Numero de nos: 7 | Erro: 433729923186688.0000000000000000000000000 |
(+(-(+(+(+(0.07538)(0.96866))(*(x1)(+(*(x1)(x1))(/(*(x1)(x1))(0.05509)))))(+(0.86367)(x1)))(x1))(+(+(x1)(-(x1)(0.87713)))(x1))) | Numero de nos: 29 | Erro: 537565488742400.0000000000000000000000000 |
(-(-(0.56609)(*(-(/(x1)(0.93686))(x1))(-(/(0.26563)(+(x1)(/(+(+(*(*(0.69292)(/(x1)(x1)))(0.20908))(x1))(0.10022))(x1))))(x1))))(x1)) | Numero de nos: 29 | Erro: 434145931034624.0000000000000000000000000 |
(*(-(+(/(0.75869)(+(-(+(-(0.57927)(*(/(/(/(+(+(0.26740)(0.67061))(x1))(x1))(0.58928))(x1))(0.05377)))(0.30738))(0.95587))(0.51787)))(0.98379))(x1))(0.37233)) | Numero de nos: 29 | Erro: 434176163577856.0000000000000000000000000 |
(-(*(-(0.84774)(+(/(x1)(*(x1)(x1)))(*(+(+(-(+(0.90863)(*(x1)(x1)))(+(+(0.24387)(x1))(0.19468)))(x1))(x1))(x1))))(x1))(x1)) | Numero de nos: 29 | Erro: 1736233415868416.0000000000000000000000000 |
(+(x1)(/(/(-(+(*(+(/(0.53432)(+(x1)(0.64409)))(+(/(x1)(/(x1)(/(x1)(0.85119))))(0.43391)))(/(x1)(0.81359)))(0.21839))(0.57945))(0.89264))(0.41432))) | Numero de nos: 29 | Erro: 432435225427968.0000000000000000000000000 |
(0.80682) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(*(x1)(+(/(+(-(x1)(x1))(/(/(0.66228)(/(-(+(0.12290)(*(-(*(x1)(-(x1)(x1)))(x1))(0.69848)))(0.69982))(x1)))(x1)))(x1))(0.19584))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(-(-(+(*(x1)(x1))(+(-(x1)(-(*(-(*(0.75021)(+(0.25681)(*(0.68899)(+(-(x1)(x1))(0.45253)))))(x1))(x1))(x1)))(0.70354)))(0.12723))(x1)) | Numero de nos: 29 | Erro: 433283850567680.0000000000000000000000000 |
(0.83132) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(-(+(+(x1)(x1))(-(+(0.83471)(0.04440))(-(+(x1)(0.46297))(0.31754))))(x1)) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(x1)(+(0.81512)(/(-(0.81887)(x1))(-(x1)(*(*(x1)(x1))(-(-(0.67791)(x1))(*(0.70162)(-(x1)(/(/(*(x1)(0.95309))(x1))(0.41527)))))))))) | Numero de nos: 29 | Erro: 434176834666496.0000000000000000000000000 |
(-(-(+(0.17554)(x1))(x1))(*(-(x1)(*(/(/(/(*(0.56072)(-(0.14545)(0.16544)))(+(+(*(x1)(0.75060))(x1))(0.70446)))(x1))(x1))(x1)))(0.53594))) | Numero de nos: 29 | Erro: 434176297795584.0000000000000000000000000 |
(+(/(x1)(*(x1)(0.89956)))(-(+(-(0.02701)(+(+(/(x1)(*(*(+(+(x1)(0.83224))(0.43699))(-(0.32572)(x1)))(x1)))(x1))(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 434175559598080.0000000000000000000000000 |
(*(x1)(*(/(0.43513)(x1))(0.53365))) | Numero de nos: 7 | Erro: 434176599785472.0000000000000000000000000 |
(/(/(*(*(-(+(-(+(-(x1)(0.59655))(+(-(+(*(-(x1)(0.62813))(0.23118))(0.91943))(x1))(0.04096)))(0.30271))(0.52757))(x1))(x1))(0.51299))(x1))(x1)) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(+(x1)(x1)) | Numero de nos: 3 | Erro: 434177270874112.0000000000000000000000000 |
(/(-(*(x1)(x1))(/(0.02567)(0.39552)))(+(/(x1)(x1))(-(0.70763)(0.86227)))) | Numero de nos: 15 | Erro: 433648419471360.0000000000000000000000000 |
(-(+(*(x1)(0.52199))(+(x1)(x1)))(+(-(x1)(0.92080))(/(0.17145)(x1)))) | Numero de nos: 15 | Erro: 434176901775360.0000000000000000000000000 |
(-(-(/(0.84793)(0.53774))(-(0.11902)(x1)))(*(/(0.01498)(0.85690))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176666894336.0000000000000000000000000 |
(*(+(*(x1)(x1))(+(x1)(0.19752)))(/(-(0.56755)(x1))(-(x1)(0.61501)))) | Numero de nos: 15 | Erro: 434623142166528.0000000000000000000000000 |
(*(+(-(x1)(0.91638))(*(0.09256)(0.97473)))(-(+(x1)(x1))(+(0.84802)(0.88214)))) | Numero de nos: 15 | Erro: 433282139291648.0000000000000000000000000 |
(/(+(*(x1)(0.02219))(*(x1)(0.91073)))(*(+(x1)(x1))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(/(0.45585)(x1))(*(0.45335)(0.62004)))(-(-(0.77410)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(+(0.00439)(x1))(+(0.83120)(x1)))(/(+(0.24454)(x1))(-(x1)(0.72738)))) | Numero de nos: 15 | Erro: 434176767557632.0000000000000000000000000 |
(/(-(*(0.30702)(x1))(-(0.95605)(0.84619)))(/(-(0.48439)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(-(/(+(x1)(0.21241))(*(x1)(x1)))(/(*(x1)(0.56883))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(*(x1)(0.38151))(+(0.02774)(0.27656)))(-(-(0.51317)(x1))(*(0.03708)(0.83871)))) | Numero de nos: 15 | Erro: 434176163577856.0000000000000000000000000 |
(*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
(-(+(*(0.55284)(0.85073))(-(0.66707)(0.30216)))(*(*(x1)(x1))(+(0.07221)(x1)))) | Numero de nos: 15 | Erro: 433316364812288.0000000000000000000000000 |
(*(-(*(0.33317)(x1))(*(0.91266)(0.82726)))(*(+(x1)(x1))(+(0.63225)(x1)))) | Numero de nos: 15 | Erro: 435505690836992.0000000000000000000000000 |
(/(-(+(x1)(0.41322))(+(x1)(x1)))(-(*(x1)(x1))(/(x1)(0.69524)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(+(0.38240)(x1))(/(0.55946)(0.84796)))(+(/(0.77142)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434177136656384.0000000000000000000000000 |
(/(-(-(x1)(x1))(*(x1)(0.84768)))(-(/(0.15647)(0.11295))(/(0.62716)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(-(/(+(x1)(x1))(-(x1)(0.71404)))(-(+(0.34602)(x1))(*(0.32133)(0.78381)))) | Numero de nos: 15 | Erro: 434175760924672.0000000000000000000000000 |
(-(-(+(0.53371)(x1))(*(x1)(0.60778)))(+(-(x1)(x1))(-(x1)(0.45906)))) | Numero de nos: 15 | Erro: 434176096468992.0000000000000000000000000 |
(+(-(/(0.93463)(x1))(*(0.84863)(x1)))(/(/(x1)(x1))(-(0.54131)(x1)))) | Numero de nos: 15 | Erro: 434176297795584.0000000000000000000000000 |
(-(/(-(0.03854)(x1))(*(x1)(0.20722)))(-(-(x1)(0.12952))(*(0.41862)(x1)))) | Numero de nos: 15 | Erro: 434177505755136.0000000000000000000000000 |
(/(/(-(x1)(0.46565))(*(0.57613)(x1)))(-(-(0.29759)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(*(*(0.58867)(0.42305))(/(0.79452)(x1)))(/(-(0.84228)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(/(*(x1)(x1))(-(0.25501)(x1)))(-(-(0.63717)(0.80666))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176901775360.0000000000000000000000000 |
(*(/(+(x1)(0.95215))(-(0.89785)(x1)))(-(+(0.36995)(0.91122))(*(0.65099)(x1)))) | Numero de nos: 15 | Erro: 434176901775360.0000000000000000000000000 |
(+(-(-(0.96139)(0.27100))(/(0.05481)(x1)))(+(/(0.49062)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176197132288.0000000000000000000000000 |
(+(/(+(x1)(x1))(*(0.45561)(x1)))(-(*(0.61421)(x1))(+(0.65340)(0.37663)))) | Numero de nos: 15 | Erro: 434175928696832.0000000000000000000000000 |
(*(*(+(x1)(0.60564))(-(0.39912)(x1)))(+(*(x1)(x1))(-(0.49037)(x1)))) | Numero de nos: 15 | Erro: 1740571198619648.0000000000000000000000000 |
(/(+(+(0.26911)(0.06842))(/(0.66457)(x1)))(+(-(x1)(0.41185))(/(0.17872)(0.71972)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(/(0.75359)(0.83288))(-(0.53160)(x1)))(-(+(0.58367)(x1))(+(0.43223)(0.54790)))) | Numero de nos: 15 | Erro: 434175291162624.0000000000000000000000000 |
(-(*(+(x1)(0.95502))(/(x1)(x1)))(/(/(0.87689)(0.70809))(*(0.93271)(0.85079)))) | Numero de nos: 15 | Erro: 434177035993088.0000000000000000000000000 |
(*(/(-(0.18274)(0.20692))(+(x1)(0.27869)))(/(/(0.62694)(0.31883))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(-(x1)(0.26154))(*(x1)(x1)))(+(-(0.61571)(x1))(*(0.02124)(0.25321)))) | Numero de nos: 15 | Erro: 434177035993088.0000000000000000000000000 |
(+(*(*(0.17060)(0.98004))(/(0.22477)(x1)))(/(-(x1)(0.08408))(*(x1)(0.36470)))) | Numero de nos: 15 | Erro: 434176029360128.0000000000000000000000000 |
(/(-(/(x1)(0.00870))(/(0.86889)(0.74248)))(+(+(x1)(x1))(-(0.66073)(x1)))) | Numero de nos: 15 | Erro: 434147877191680.0000000000000000000000000 |
(/(*(-(x1)(x1))(*(0.53917)(x1)))(-(*(x1)(0.16187))(/(0.36061)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(-(0.58815)(x1))(*(0.62331)(0.95306)))(*(+(x1)(x1))(*(0.54259)(x1)))) | Numero de nos: 15 | Erro: 433691335589888.0000000000000000000000000 |
(-(+(*(x1)(0.93896))(/(x1)(x1)))(*(/(x1)(0.23124))(*(0.15091)(0.92563)))) | Numero de nos: 15 | Erro: 434176465567744.0000000000000000000000000 |
(*(*(*(0.44328)(0.04913))(-(0.61602)(0.83938)))(*(+(0.45775)(0.96966))(/(0.54646)(0.14444)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(/(x1)(0.54332))(-(0.75164)(x1)))(/(/(0.98624)(x1))(+(x1)(0.76836)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(/(/(0.92569)(0.34745))(-(x1)(x1)))(+(-(x1)(0.24500))(+(x1)(0.24952)))) | Numero de nos: 15 | Erro: 434177270874112.0000000000000000000000000 |
(+(+(*(0.05460)(0.50020))(/(x1)(x1)))(*(*(x1)(0.76498))(*(0.67531)(0.49776)))) | Numero de nos: 15 | Erro: 434176331350016.0000000000000000000000000 |
(*(-(-(x1)(0.15439))(+(0.06357)(0.86141)))(/(*(0.95389)(0.37620))(-(x1)(0.46754)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(/(-(0.78329)(x1))(/(x1)(0.32405)))(/(/(x1)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(*(+(+(x1)(0.96057))(+(x1)(0.78158)))(-(/(0.07639)(0.34211))(/(0.08328)(x1)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(/(-(*(x1)(0.32710))(+(x1)(0.73000)))(/(-(0.82952)(x1))(-(0.55376)(0.10480)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(/(/(/(x1)(0.13150))(/(x1)(0.98736)))(/(/(x1)(x1))(*(x1)(0.19605)))) | Numero de nos: 15 | Erro: 434177103101952.0000000000000000000000000 |
(*(*(-(x1)(0.51320))(+(x1)(x1)))(+(-(x1)(0.56523))(+(0.31074)(x1)))) | Numero de nos: 15 | Erro: 443368198897664.0000000000000000000000000 |
(/(*(*(x1)(0.67318))(/(0.08371)(0.11844)))(-(-(x1)(x1))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434176666894336.0000000000000000000000000 |
(+(/(-(x1)(x1))(/(x1)(0.14774)))(/(*(x1)(0.95984))(-(x1)(0.04895)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |

MELHOR: (*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
MELHOR: (*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
MELHOR: (*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(0.54973))(+(0.09366)(x1)))) | Numero de nos: 15 | Erro: 224742770475008.0000000000000000000000000 |
MELHOR: (/(-(/(0.45585)(x1))(*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(x1))(+(0.09366)(x1)))))(-(x1)(+(x1)(+(x1)(0.12931))))) | Numero de nos: 27 | Erro: 104119754817536.0000000000000000000000000 |
MELHOR: (/(-(/(0.45585)(x1))(*(*(+(x1)(x1))(*(x1)(x1)))(*(*(0.25501)(x1))(+(0.09366)(x1)))))(-(x1)(+(x1)(+(x1)(0.12931))))) | Numero de nos: 27 | Erro: 104119754817536.0000000000000000000000000 |
MELHOR: (/(-(/(0.45585)(x1))(*(*(+(x1)(x1))(*(+(x1)(x1))(x1)))(*(*(0.25501)(x1))(+(0.09366)(x1)))))(-(x1)(+(x1)(+(x1)(0.12931))))) | Numero de nos: 29 | Erro: 438266429440.0000000000000000000000000 |
MELHOR: (/(-(/(0.45585)(x1))(*(*(+(x1)(x1))(*(+(x1)(x1))(x1)))(*(*(0.25501)(x1))(+(0.09366)(x1)))))(-(x1)(+(x1)(+(x1)(0.12931))))) | Numero de nos: 29 | Erro: 438266429440.0000000000000000000000000 |
MELHOR: (*(-(-(/(0.50700)(x1))(0.84802))(-(-(*(0.53197)(0.59139))(*(x1)(+(*(-(/(*(x1)(+(0.55766)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10776055808.0000000000000000000000000 |
MELHOR: (*(-(-(/(0.50700)(x1))(0.84802))(-(-(*(0.53197)(0.59139))(*(x1)(+(*(-(/(*(x1)(+(0.55766)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10776055808.0000000000000000000000000 |
MELHOR: (*(-(-(/(0.85678)(x1))(0.84802))(-(-(*(0.53197)(0.59139))(*(x1)(+(*(-(/(*(x1)(+(0.55766)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10775991296.0000000000000000000000000 |
MELHOR: (*(-(-(/(0.50700)(x1))(0.06839))(-(-(*(0.53197)(0.59139))(*(x1)(+(*(-(/(*(x1)(+(0.55766)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10733290496.0000000000000000000000000 |
MELHOR: (*(-(*(*(x1)(0.85678))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(-(/(*(x1)(+(0.12931)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10003320832.0000000000000000000000000 |
MELHOR: (*(-(*(*(x1)(0.85678))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(-(/(*(x1)(+(0.12931)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10003320832.0000000000000000000000000 |
MELHOR: (*(-(*(*(x1)(0.85678))(x1))(-(-(/(x1)(x1))(*(x1)(+(*(-(/(*(x1)(+(0.12931)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 10003320832.0000000000000000000000000 |
MELHOR: (*(-(-(/(0.85678)(x1))(0.84802))(-(-(*(0.53197)(0.59139))(*(x1)(+(*(-(/(*(x1)(+(0.71001)(x1)))(x1))(0.77624))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 1016506560.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 75868.7187500000000000000000000 |
MELHOR: (*(-(-(x1)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 75868.7187500000000000000000000 |
MELHOR: (*(-(-(x1)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 75868.7187500000000000000000000 |
MELHOR: (*(-(-(x1)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(0.17512)))(x1)) | Numero de nos: 29 | Erro: 75868.7187500000000000000000000 |
MELHOR: (*(-(-(0.53197)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 30315.4902343750000000000000000 |
MELHOR: (*(-(-(0.53197)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 30315.4902343750000000000000000 |
MELHOR: (*(-(-(0.53197)(/(/(0.64879)(x1))(0.18537)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 30315.4902343750000000000000000 |
MELHOR: (*(-(-(0.53197)(/(/(0.64879)(x1))(x1)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 28681.7734375000000000000000000 |
MELHOR: (*(-(-(0.53197)(/(/(0.64879)(x1))(x1)))(-(-(0.11594)(*(x1)(+(*(-(/(*(x1)(+(0.77624)(x1)))(x1))(0.77624))(x1))(x1))))(x1)))(x1)) | Numero de nos: 29 | Erro: 28681.7734375000000000000000000 |
MELHOR: (*(-(-(/(x1)(x1))(0.08829))(-(-(*(0.68859)(0.59139))(*(x1)(+(*(x1)(x1))(x1))))(x1)))(x1)) | Numero de nos: 21 | Erro: 20347.6445312500000000000000000 |
MELHOR: (*(-(-(/(x1)(x1))(0.08829))(-(-(*(0.68859)(0.59139))(*(x1)(+(*(x1)(x1))(x1))))(x1)))(x1)) | Numero de nos: 21 | Erro: 20347.6445312500000000000000000 |
MELHOR: (*(-(-(/(x1)(x1))(0.08829))(-(-(*(0.68859)(0.59139))(*(x1)(+(*(x1)(x1))(x1))))(x1)))(x1)) | Numero de nos: 21 | Erro: 20347.6445312500000000000000000 |
MELHOR: (*(-(-(/(x1)(x1))(0.08829))(-(-(*(0.68859)(0.59139))(*(x1)(+(*(x1)(x1))(x1))))(x1)))(x1)) | Numero de nos: 21 | Erro: 20347.6445312500000000000000000 |
